"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
MHY8162K2046,SBLK        ,스타 벌크 캐리어스                                                  ,Star Bulk Crirs                                             
US78573L1061,SBRA        ,사브라 헬스케어 리츠                                                 ,Sabra REIT                                                  
US84470P1093,SBSI        ,사우스사이드 뱅크셰어스                                                ,Southside                                                   
US85917W1027,SBT         ,"Sterling Bancorp, Inc.                                      ",Sterling Bancorp                                            
US8552441094,SBUX        ,스타벅스                                                        ,Starbucks                                                   
US8070661058,SCHL        ,스콜라스틱                                                       ,Scholastic                                                  
US8068821060,SCHN        ,Schnitzer Steel                                             ,Schnitzer Steel                                             
US83368E2000,SCKT        ,"Socket Mobile, Inc.                                         ",Socket Mobile                                               
US80880W1062,SCLX        ,Scilex Holding                                              ,Scilex Holding                                              
US20564W1053,SCOR        ,컴스코어                                                        ,Comscore                                                    
US8106481059,SCPH        ,scPharmaceuticals Inc.                                      ,scPharma                                                    
US8090871091,SCPL        ,Sciplay                                                     ,Sciplay                                                     
US8060371072,SCSC        ,스캔소스                                                        ,Scansource                                                  
US75629F1093,SCTL        ,Societal CDMO                                               ,Societal CDMO                                               
US8248891090,SCVL        ,슈 카니발                                                       ,Shoe Carnival                                               
US88583P1049,SCWO        ,"374Water                                                    ","374Water                                                    "
US81374A1051,SCWX        ,시큐어웍스                                                       ,SecureWorks                                                 
US8112922005,SCYX        ,SCYNEXIS                                                    ,SCYNEXIS                                                    
US83192H1068,SDC         ,SmileDirectClub                                             ,SmileDirectClub                                             
US80810D1037,SDGR        ,Schrodinger                                                 ,Schrodinger                                                 
US86337R2022,SDIG        ,Stronghold                                                  ,Stronghold                                                  
US92854T1007,SEAT        ,Vivid Seats                                                 ,Vivid Seats                                                 
US81367P2002,SECO        ,Secoo Hldg                                                  ,Secoo Hldg                                                  
US83417M1045,SEDG        ,솔라에지 테크놀로지스                                                 ,Solaredge Tech                                              
VGG678282051,SEED        ,오리진 애그리테크                                                   ,Origin Agritech                                             
US81577F1093,SEEL        ,Apricus                                                     ,Seelos                                                      
US81578P1066,SEER        ,Seer                                                        ,Seer                                                        
US7841171033,SEIC        ,SEI 인베스트먼츠                                                  ,SEI Investments                                             
US8162121045,SELB        ,셀렉타 바이오사이언시스                                                ,Selecta                                                     
US37955N1063,SELF        ,글로벌 셀프 스토리지                                                 ,Global Self Strg                                            
US8170705011,SENEA       ,세네카 푸즈 Class-A                                              ,Seneca Foods                                                
US81749D1072,SERA        ,Sera Prognostics                                            ,Sera Prognostics                                            
US81784E1010,SEVN        ,Seven Hills                                                 ,Seven Hills                                                 
